"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M002276","47305","SANDALFOOT SQUIRE ONE, A CONDO","Palm Beach","9200 SW 3RD ST, BOCA RATON, FL 33428-4564","20","04/29/1977","Approved","Recorded","MA00012803","SANDALFOOT SQUIRE PHASE II ASSN INC","","1967 10TH AVE N","LAKE WORTH","FL","33461"
"PR1M002278","47307","SANDALFOOT SQUIRE EIGHT, A CONDO","Palm Beach","9280 SW 3RD ST, BOCA RATON, FL 33428-4551","16","04/29/1977","Approved","Recorded","MA00012803","SANDALFOOT SQUIRE PHASE II ASSN INC","","1967 10TH AVE N","LAKE WORTH","FL","33461"
"PR1M002279","47308","SANDALFOOT SQUIRE NINE, A CONDO","Palm Beach","9220 SW 3RD ST, BOCA RATON, FL 33428-4563","16","04/29/1977","Approved","Recorded","MA00012803","SANDALFOOT SQUIRE PHASE II ASSN INC","","1967 10TH AVE N","LAKE WORTH","FL","33461"
"PR1M002317","47309","BOCA TEECA CONDO #8, BLDG. 2","Palm Beach","5800 N.W. 2ND AVENUE #8, BOCA RATON, FL 33487-3899","39","12/01/1978","Approved","Recorded","MA00001284","BOCA TEECA CONDO #8 INC","C/O FOLIO ASSOCIATION MANAGEMENT","1300 CONCORD TERRACE, SUITE 400","SUNRISE","FL","33323"
"PR1M002318","47310","BOCA TEECA CONDO #8, BLDG. 3","Palm Beach","5800 N.W. 2ND AVENUE #8, BOCA RATON, FL 33487-3899","39","12/01/1978","Approved","Recorded","MA00001284","BOCA TEECA CONDO #8 INC","C/O FOLIO ASSOCIATION MANAGEMENT","1300 CONCORD TERRACE, SUITE 400","SUNRISE","FL","33323"
"PR1M002319","47311","BOCA TEECA CONDO #8, BLDG. 1","Palm Beach","5800 N.W. 2ND AVENUE #8, BOCA RATON, FL 33487-3899","38","12/29/1978","Approved","Recorded","MA00001284","BOCA TEECA CONDO #8 INC","C/O FOLIO ASSOCIATION MANAGEMENT","1300 CONCORD TERRACE, SUITE 400","SUNRISE","FL","33323"
"PR1M002320","47312","BOCA TEECA CONDO #8, BLDG. 4","Palm Beach","5800 N.W. 2ND AVENUE #8, BOCA RATON, FL 33487-3899","39","12/01/1978","Approved","Recorded","MA00001284","BOCA TEECA CONDO #8 INC","C/O FOLIO ASSOCIATION MANAGEMENT","1300 CONCORD TERRACE, SUITE 400","SUNRISE","FL","33323"
"PR1G007349","46378","VILLA D'ESTE, A CONDO","Broward","DEER CREEK LAKES DRIVE, DEERFIELD BEACH, FL 33334","106","04/20/1982","Approved","Recorded","MA00000151","VILLA D'ESTE CONDO INC","C/O EXCLUSIVE PROPERTY MANAGEMENT","2945 W CYPRESS CREEK RD, SUITE 201","FORT LAUDERDALE","FL","33309"
"PR1G017309","46398","ISLAND CLUB 2","Broward","777 S FEDERAL HWY, POMPANO BEACH, FL 33062-5917","158","01/01/1971","Approved","Recorded","MA00002554","ISLAND CLUB TWO, INC","C/O FLORIDA SKYLINE MANAGEMENT","22163 MAJESTIC WOODS WAY","BOCA RATON","FL","33428"
"PR1G018267","46399","ISLAND CLUB 3","Broward","777 S FEDERAL HWY, POMPANO BEACH, FL 33062-5917","82","11/11/1971","Approved","Recorded","MA00013407","ISLAND CLUB THREE INC","C/O RON RIES","777 S. FEDERAL HWY.","POMPANO BEACH","FL","33062"
"PR1G018635","46400","ISLAND CLUB 1","Broward","777 S FEDERAL HWY, POMPANO BEACH, FL 33062-5917","142","01/01/1971","Approved","Recorded","MA00011804","ISLAND CLUB ONE, INC.","C/O ORCHID MGMT SOLUTIONS","265 S FEDERAL HWY #330","DEERFIELD BEACH","FL","33441"
"PR1G019217","46401","ISLAND CLUB 4","Broward","777 S FEDERAL HWY, POMPANO BEACH, FL 33062-5917","121","04/01/1975","Approved","Recorded","MA00008394","ISLAND CLUB 4 INC 777 S. FEDERAL HIGHWAY","C/O WASSERSTEIN, P.A., REGISTERED AGENT","301 YAMATO ROAD, SUITE 2199","BOCA RATON","FL","33431"
"PR1M002492","47328","PARKWAY GARDENS CONDO 1 & 2","Broward","344 SW 1ST ST, POMPANO BEACH, FL 33060-4630","18","01/01/1974","Approved","Recorded","MA00002245","PARKWAY GARDENS CONDO ASSOC.","C/O DYNAMIC ACCOUNTING, INC","6464 NW 5TH WAY","FORT LAUDERDALE","FL","33309"
"PR1M002494","47330","PARKWAY GARDENS CONDO 4","Broward","230 & 238 SW FIRST ST, POMPANO BEACH, FL 33062","16","11/21/1978","Approved","Recorded","MA00002245","PARKWAY GARDENS CONDO ASSOC.","C/O DYNAMIC ACCOUNTING, INC","6464 NW 5TH WAY","FORT LAUDERDALE","FL","33309"
"PR1M002495","47331","PARKWAY GARDENS CONDO 5","Broward","214 & 222 SW FIRST ST, POMPANO BEACH, FL 33062","16","12/26/1978","Approved","Recorded","MA00002245","PARKWAY GARDENS CONDO ASSOC.","C/O DYNAMIC ACCOUNTING, INC","6464 NW 5TH WAY","FORT LAUDERDALE","FL","33309"
"PR1M002497","47333","PARKWAY GARDENS CONDO 7","Broward","321 SW 1ST CT, POMPANO BEACH, FL 33060-4639","16","01/01/1980","Approved","Recorded","MA00002245","PARKWAY GARDENS CONDO ASSOC.","C/O DYNAMIC ACCOUNTING, INC","6464 NW 5TH WAY","FORT LAUDERDALE","FL","33309"
"PR1M002742","47349","LAGO WEST CONDO B","Broward","200 COMMODORE DR, FORT LAUDERDALE, FL 33325-2623","45","09/30/1977","Approved","Recorded","MA00006331","LAGO WEST CONDO ASSOC., INC.","","420 COMMODORE DRIVE","PLANTATION","FL","33325-2120"
"PR1M002743","47350","LAGO WEST CONDO C","Broward","200 COMMODORE DR, FORT LAUDERDALE, FL 33325-2623","45","09/30/1977","Approved","Recorded","MA00006331","LAGO WEST CONDO ASSOC., INC.","","420 COMMODORE DRIVE","PLANTATION","FL","33325-2120"
"PR1M002841","47356","BOCA TERRACE CONDO PHASE II","Palm Beach","800 S.W. 9TH STREET CIRCLE, BOCA RATON, FL 33486-5299","72","02/04/1981","Approved","Recorded","MA00012111","BOCA TERRACE CONDO ASSN INC","","800 SW 9TH ST CIR","BOCA RATON","FL","33486-5299"
"PR1M002896","47364","HARBOURSIDE III, A CONDO","Palm Beach","1 HARBOURSIDE DR, DELRAY BEACH, FL 33483-5180","49","11/16/1982","Approved","Recorded","MA00003068","HARBOURSIDE CONDO ASSN INC","","1 HARBOURSIDE DR","DELRAY BEACH","FL","33483-5180"
"PR1M003007","47365","NOB HILL AT WELLEBY CONDO #1","Broward","9701 W OAKLAND PARK BLVD, SUNRISE, FL 33351-7013","20","02/10/1984","Approved","Recorded","MA00006765","NOB HILL AT WELLEBY CONDO ASSN INC","C/OLOYALTY MGMT GROUP","PO BOX 122290","FORT LAUDERDALE","FL","33312"
"PR1M003008","47366","NOB HILL AT WELLEBY CONDO #2","Broward","9701 WEST OAKLAND PARK BLVD., SUNRISE, FL 33351-7013","40","03/22/1984","Approved","Recorded","MA00006765","NOB HILL AT WELLEBY CONDO ASSN INC","C/OLOYALTY MGMT GROUP","PO BOX 122290","FORT LAUDERDALE","FL","33312"
"PR1M003009","47367","NOB HILL AT WELLEBY CONDO #3","Broward","3800 NOB HILL ROAD, SUNRISE, FL 33321","12","06/30/1989","Approved","Recorded","MA00006765","NOB HILL AT WELLEBY CONDO ASSN INC","C/OLOYALTY MGMT GROUP","PO BOX 122290","FORT LAUDERDALE","FL","33312"
"PR1M003085","47374","LAKES OF CARRIAGE HILLS CONDO 2","Broward","6090 N SABAL PALM BLVD, TAMARAC, FL 33319-2646","36","12/08/1983","Approved","Recorded","MA00007409","LAKES OF CARRIAGE HILLS CONDO ASSN INC","","4985 SABAL PALM BLVD","TAMARAC","FL","33319"
"PR1G021914","46406","GRANVILLE CONDO J","Broward","73017383 GRANVILLE DRIVE, TAMARAC, FL 33321","42","04/24/1992","Approved","Recorded","MA00020341","GRANVILLE CONDO J ASSN INC","C/O CAMPBELL PROPERTY MANAGEMENT","8010 N UNIVERSITY DR","TAMARAC","FL","33321"
"PR1G022126","46407","GRANVILLE CONDO I","Broward","7401-7483 GRANVILLE DRIVE, TAMARAC, FL 33321","42","02/11/1993","Approved","Recorded","MA00020542","GRANVILLE CONDO I ASSN INC","C/O CAMPBELL PROPERTY MANAGEMENT","8010 N. UNIVERSITY DRIVE","TAMARAC","FL","33321"
"PR1G022257","46409","GRANVILLE CONDO H","Broward","7400 - 7482 GRANVILLE DRIVE, TAMARAC, FL 33321","52","11/09/1993","Approved","Recorded","MA00020646","GRANVILLE CONDO H ASSN INC","C/O CAMPBELL PROPERTY MANAGEMENT","8010 N. UNIVERSITY DRIVE","TAMARAC","FL","33321"
"PR1G022576","46430","WATERSEDGE @ THE LKS OF DELRAY CONDO K","Palm Beach","LAKES OF DELRAY BLVD, DELRAY BEACH, FL 33484","42","09/22/1994","Approved","Recorded","MA00020939","WATERSEDGE CONDO K ASSOC., INC.","C/O PHOENIX MANAGEMENT SERVICES","6131 LAKE WORTH RD","GREENACRES","FL","33463"
"PR1G022634","46432","GRANVILLE CONDO G","Broward","7500-7594 GRANVILLE DRIVE, TAMARAC, FL 33321","48","05/13/1994","Approved","Recorded","MA00020997","GRANVILLE CONDO G ASSN INC","C/O CAMPBELL PROPERTY MANAGEMENT","7598 GRANVILLE DRIVE","TAMARAC","FL","33321"
"PR1G022778","46442","GRANVILLE CONDO F","Broward","7501-7595 GRANVILLE DRIVE, TAMARAC, FL 33321","48","10/27/1994","Approved","Recorded","MA00021111","GRANVILLE CONDO F ASSN INC","C/O CAMPBELL PROPERTY MANAGEMENT","8010 N. UNIVERSITY DRIVE","TAMARAC","FL","33321"
"PR1M003087","47376","LAKES OF CARRIAGE HILLS CONDO 6","Broward","6180 ROCK ISLAND RD, TAMARAC, FL 33319-2528","56","01/18/1983","Approved","Recorded","MA00007409","LAKES OF CARRIAGE HILLS CONDO ASSN INC","","4985 SABAL PALM BLVD","TAMARAC","FL","33319"
"PR1M003104","47382","POINCIANA PLACE CONDO A","Palm Beach","1500 GATEWAY BLVD #220, BOYNTON BEACH, FL 33426","48","01/01/1978","Approved","Recorded","MA00011327","POINCIANA PLACE CONDO ASSN III INC","C/O CONNI GIBSON, CPA","7040 SEMINOLE PRATT WHITNEY RD","LOXAHATCHEE","FL","33470"
