"Project Number","File Number","Condo Name","County","Street City State Zip","Units","Recorded Date","Primary Status","Secondary Status","Managing Entity Number","Managing Entity Name","Managing Entity Route","Managing Entity Street","Managing Entity City","Managing Entity State","Managing Entity Zip"
"PR1M001796","47193","GABLES EAST OF BOCA BARWOOD II CONDO, THE","Palm Beach","23378 SW 57TH AVE #201, BOCA RATON, FL 33428-7706","8","10/03/1983","Approved","Delinquent","MA00012468","GABLES EAST OF BOCA BARWOOD CONDO ASSN","","10112 USA TODAY WAY","MIRAMAR","FL","33025"
"PR1M001866","47212","APPLEWOOD VILLAGE I - B, A CONDO","Broward","CARAMBOLA CIRCLE, COCONUT CREEK, FL 33066","24","08/28/1986","Approved","Delinquent","MA00015878","APPLEWOOD VILLAGE I CONDO ASSOC INC","","10191 W SAMPLE RD","POMPANO BEACH","FL","33065"
"PR1M001867","47213","APPLEWOOD VILLAGE I - D, A CONDO","Broward","CARAMBOLA CIRCLE, COCONUT CREEK, FL 33066","64","07/31/1986","Approved","Delinquent","MA00015878","APPLEWOOD VILLAGE I CONDO ASSOC INC","","10191 W SAMPLE RD","POMPANO BEACH","FL","33065"
"PR1M002038","47256","GRANADA VILLAGE B","Broward","2101-2656, COCONUT CREEK, FL 33066","56","06/22/1981","Approved","Delinquent","MA73149","WYNMOOR COMMUNITY COUNCIL, INC","","1001 WYNMOOR CIRCLE","COCONUT CREEK","FL","33066"
"PR1M002039","47257","GRANADA VILLAGE C","Broward","2101-2656 GRANADA DR, COCONUT CREEK, FL 33066","56","06/22/1981","Approved","Delinquent","MA73149","WYNMOOR COMMUNITY COUNCIL, INC","","1001 WYNMOOR CIRCLE","COCONUT CREEK","FL","33066"
"PR1M002875","47357","MEADOWBROOK LAKES VIEW BLDG A","Broward","135 SE 3RD AVE, DANIA, FL 33004-3709","48","08/18/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002876","47358","MEADOWBROOK LAKES VIEW BLDG B","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","09/15/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002877","47359","MEADOWBROOK LAKES VIEW BLDG C","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","10/24/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002878","47360","MEADOWBROOK LAKES VIEW BLDG D","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","12/01/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M002879","47361","MEADOWBROOK LAKES VIEW BLDG E","Broward","45 E SHERIDAN ST, DANIA, FL 33004-4397","48","12/18/1980","Approved","Delinquent","MA00000694","MEADOWBROOK LAKES VIEW CONDO ASSN INC ****PHASE IV****","","1 EAST BROWARD BLVD, SUITE 1800","FORT LAUDERDALE","FL","33001"
"PR1M003180","47401","TRELLISES #1B, THE","Broward","9701 N NEW RIVER CANAL RD #1B, PLANTATION, FL 33324-3428","5","06/30/1977","Approved","Delinquent","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003185","47406","TRELLISES #5A, THE","Broward","9701 N NEW RIVER CANAL RD #5A, PLANTATION, FL 33324-3428","16","12/30/1976","Approved","Delinquent","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M003188","47409","TRELLISES #6B, THE","Broward","9701 N NEW RIVER CANAL RD #6B, PLANTATION, FL 33324-3428","15","10/19/1978","Approved","Delinquent","MA00004773","TRELLISES ASSN, INC","","9731 N  NEW RIVER CANAL ROAD","PLANTATION","FL","33324-3419"
"PR1M007620","48049","PALM CHASE CONDO #132","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","07/09/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007621","48050","PALM CHASE CONDO #2","Palm Beach","10755 PALM LAKE AVE., BOYNTON BEACH, FL 33437","2","09/25/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007622","48051","PALM CHASE CONDO #133","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","08/14/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007623","48052","PALM CHASE CONDO #44","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/31/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007624","48053","PALM CHASE CONDO #73","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","11/10/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007625","48054","PALM CHASE CONDO #74","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","11/10/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007626","48055","PALM CHASE CONDO #75","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","10/20/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007627","48056","PALM CHASE CONDO #77","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/20/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007628","48057","PALM CHASE CONDO #78","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/20/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007629","48058","PALM CHASE CONDO #79","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/20/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007631","48060","PALM CHASE CONDO #81","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/14/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007632","48061","PALM CHASE CONDO #91","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/14/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007633","48062","PALM CHASE CONDO #41","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/25/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007634","48063","PALM CHASE CONDO #42","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/24/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007635","48064","PALM CHASE CONDO #43","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/24/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007636","48065","PALM CHASE CONDO #69","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","11/25/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007637","48066","PALM CHASE CONDO #39","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","12/15/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007638","48067","PALM CHASE CONDO #40","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","12/11/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007639","48068","PALM CHASE CONDO #47","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","12/11/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007641","48070","PALM CHASE CONDO #46","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","12/15/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007642","48071","PALM CHASE CONDO #45","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","12/15/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007643","48072","PALM CHASE CONDO #31","Palm Beach","PALM LAKE AVENUE, BOYNTON BEACH, FL 99999","2","01/16/1987","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007644","48073","PALM CHASE CONDO #32","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","01/13/1987","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007645","48074","PALM CHASE CONDO #33","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","01/16/1987","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007646","48075","PALM CHASE CONDO #67","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","01/16/1987","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007647","48076","PALM CHASE CONDO #3","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/25/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007648","48077","PALM CHASE CONDO #68","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","01/16/1987","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007649","48078","PALM CHASE CONDO #72","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","01/13/1987","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007651","48080","PALM CHASE CONDO #5","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/15/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007652","48081","PALM CHASE CONDO #6","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/15/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007653","48082","PALM CHASE CONDO #7","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/15/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007654","48083","PALM CHASE CONDO #8","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","10/28/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007655","48084","PALM CHASE CONDO #9","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/04/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007656","48085","PALM CHASE CONDO #10","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/04/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007657","48086","PALM CHASE CONDO #11","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/04/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007658","48087","PALM CHASE CONDO #12","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/21/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007659","48088","PALM CHASE CONDO #14","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","12/03/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007660","48089","PALM CHASE CONDO #15","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","12/17/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007662","48091","PALM CHASE CONDO #17","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","12/17/1905","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007663","48092","PALM CHASE CONDO #37","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","11/04/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007664","48093","PALM CHASE CONDO #48","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","11/04/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007665","48094","PALM CHASE CONDO #49","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","01/04/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007666","48095","PALM CHASE CONDO #50","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","11/21/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007667","48096","PALM CHASE CONDO #51","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","12/06/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007668","48097","PALM CHASE CONDO #52","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","12/06/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007670","48099","PALM CHASE CONDO #54","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","01/23/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007671","48100","PALM CHASE CONDO #55","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","01/06/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007732","48106","SOMERSET CONDO #1","Broward","2821 SOMERSET DR #1, LAUDERDALE LAKES, FL 33311-1955","72","11/01/1973","Approved","Delinquent","MA70298","SOMERSET CONDO NO ONE INC","","2821 SOMERSET DRIVE, SUITE 101","LAUDERDALE LAKES","FL","33311"
"PR1M007737","48111","SOMERSET CONDO #6","Broward","2861 SOMERSET DR #6, LAUDERDALE LAKES, FL 33311-1988","72","11/01/1973","Approved","Delinquent","MA70303","SOMERSET CONDO NO SIX INC","","2861 SOMERSET DR","LAUDERDALE LAKES","FL","33311"
"PR1M001580","47164","CONDO 04 OF WHITEHALL OF THE LANDS OF THE PRESIDENT","Palm Beach","3520 NORTH CONGRESS AVENUE, WEST PALM BEACH, FL 33401-1119","24","03/27/1984","Approved","Delinquent","MA00002839","WHITEHALL CONDOMINIUMS OF THE LANDS OF THE PRESIDENT ASSN INC","C/O ALLEGRA HINTZ,  BOOKKEEPER","3700 WHITEHALL DRIVE","WEST PALM BEACH","FL","33401"
"PR1M001582","47166","CONDO 06 OF WHITEHALL OF THE LANDS OF THE PRESIDENT","Palm Beach","3520 NORTH CONGRESS AVENUE, WEST PALM BEACH, FL 33401-1119","24","04/10/1984","Approved","Delinquent","MA00002839","WHITEHALL CONDOMINIUMS OF THE LANDS OF THE PRESIDENT ASSN INC","C/O ALLEGRA HINTZ,  BOOKKEEPER","3700 WHITEHALL DRIVE","WEST PALM BEACH","FL","33401"
"PR1M000395","47015","PINE POINT VILLAS A","Palm Beach","3375 N. SEACREST BLVD, BOYNTON BEACH, FL 33435","24","01/01/1974","Approved","Delinquent","MA00003933","PINE POINT VILLAS ASSOC INC","","3310 LOREN ROAD","BOYNTON BEACH","FL","33435-1514"
"PR1M007738","48112","SOMERSET CONDO #7","Broward","2821 SOMERSET DR #7, LAUDERDALE LAKES, FL 33311-1955","72","11/01/1973","Approved","Delinquent","MA70304","SOMERSET CONDO NO SEVEN INC","","2801 SOMERSET DRIVE, G-104","LAUDERDALE LAKES","FL","33311"
"PR1M007551","47983","CYPRESS BEND CONDO IV-14","Broward","2216 S CYPRESS BEND DR, POMPANO BEACH, FL 33069-4448","50","08/25/1983","Approved","Delinquent","MA00003893","CYPRESS BEND CONDO IV ASSN INC.","C/O J & L PROPERTY MGMT","10191 W SAMPLE RD #203","CORAL SPRINGS","FL","33065"
"PR1M000842","47053","SAXON WOODS SOUTH, A CONDO","Broward","2021 CORAL RIDGE DRIVE, CORAL SPRINGS, FL 33071","24","02/01/1984","Approved","Delinquent","MA00009269","SAXON WOODS CONDO ASSN INC","C/O LOYALTY MGMT GROUP, LLC","8211 W BROWARD BLVD, SUITE 110","PLANTATION","FL","33324"
"PR1M007554","47986","CYPRESS BEND CONDO IV-10","Broward","2108 S CYPRESS BEND DR, POMPANO BEACH, FL 33069-4450","50","05/16/1984","Approved","Delinquent","MA00003893","CYPRESS BEND CONDO IV ASSN INC.","C/O J & L PROPERTY MGMT","10191 W SAMPLE RD #203","CORAL SPRINGS","FL","33065"
"PR1M007557","47989","EVERGREEN I CONDO 3 OF VILLAGES OF ORIOLE","Palm Beach","S ORIOLE BLVD, DELRAY BEACH, FL 33446","8","02/08/1984","Approved","Delinquent","MA00012539","EVERGREEN I OF VILLAGES OF ORIOLE ASSN INC","C/O GRANT PROPERTY MANAGEMENT","851 BROKEN SOUND PKWY NW #102","BOCA RATON","FL","33487"
"PR1M007558","47990","EVERGREEN I CONDO 4 OF VILLAGES OF ORIOLE","Palm Beach","S ORIOLE BLVD, DELRAY BEACH, FL 33446","16","01/05/1984","Approved","Delinquent","MA00012539","EVERGREEN I OF VILLAGES OF ORIOLE ASSN INC","C/O GRANT PROPERTY MANAGEMENT","851 BROKEN SOUND PKWY NW #102","BOCA RATON","FL","33487"
"PR1M007562","47994","EVERGREEN I CONDO 8 OF VILLAGES OF ORIOLE","Palm Beach","S ORIOLE BLVD, DELRAY BEACH, FL 33446","8","12/09/1983","Approved","Delinquent","MA00012539","EVERGREEN I OF VILLAGES OF ORIOLE ASSN INC","C/O GRANT PROPERTY MANAGEMENT","851 BROKEN SOUND PKWY NW #102","BOCA RATON","FL","33487"
"PR1M007567","47997","PALM CHASE CONDO #1","Palm Beach","PALM LAKE AVENUE, BOYNTON BEACH, FL 99999","2","09/23/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007568","47998","PALM CHASE CONDO #56","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","12/11/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007569","47999","PALM CHASE CONDO #57","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","11/21/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007570","48000","PALM CHASE CONDO #58","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","10/28/1985","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007571","48001","PALM CHASE CONDO #70","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","08/20/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007572","48002","PALM CHASE CONDO #71","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","08/14/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007573","48003","PALM CHASE CONDO #76","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","4","08/04/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007574","48004","PALM CHASE CONDO #82","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/29/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007576","48006","PALM CHASE CONDO #85","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/22/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007577","48007","PALM CHASE CONDO #86","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/22/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007578","48008","PALM CHASE CONDO #87","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/22/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M012395","49130","OLIVE GLEN VILLAS I CONDO","Broward","3002 NW 4TH TER, POMPANO BEACH, FL 33064-3131","64","01/01/1979","Approved","Delinquent","MA00018423","OLIVE GLEN CONDO ASSN INC","C/O MANAGEMENT 1, LLC","17670 NW 78 AVE #202","MIAMI LAKES","FL","33015"
"PR1M012405","49134","BLUEBERRY HILL IV","Broward","71 BLUEBERRY CT, LAUDERHILL, FL 33313-3005","51","09/30/1974","Approved","Delinquent","MA00009005","BLUEBERRY HILL CONDO ASSN","C/O VALANCY & REED PA, REGISTERED AGENT","310 SE 13TH STREET","FORT LAUDERDALE","FL","33316"
"PR1M012465","49150","WEDGEWOOD CONDO","Broward","6300 N.W. 94TH AVENUE, TAMARAC, FL 33321-3552","5","01/01/1979","Approved","Delinquent","MA00015365","WEDGEWOOD CONDO ASSN INC","C/O PRIME MANAGEMENT COMPANY","2335 EAST ATLANTIC BLVD","POMPANO BEACH","FL","33062"
"PR1M012466","49151","WEDGEWOOD CONDO 2-A, 2-B AND 3-B","Broward","6300 N.W. 94TH AVENUE, TAMARAC, FL 33321-3552","173","02/06/1978","Approved","Delinquent","MA00015365","WEDGEWOOD CONDO ASSN INC","C/O PRIME MANAGEMENT COMPANY","2335 EAST ATLANTIC BLVD","POMPANO BEACH","FL","33062"
"PR1M012125","49051","BAYWOOD VILLAGE II A, A CONDO","Broward","2400 LYONS ROAD, COCONUT CREEK, FL 33066","36","03/05/1987","Approved","Delinquent","MA00015405","BAYWOOD VILLAGE II CONDO ASSN INC","C/O J & L PROPERTY MANAGEMENT INC","10191 WEST SAMPLE RD","CORAL SPRINGS","FL","33065"
"PR1M012126","49052","BAYWOOD VILLAGE II B, A CONDO","Broward","2400 LYONS ROAD, COCONUT CREEK, FL 33066","52","04/02/1987","Approved","Delinquent","MA00015405","BAYWOOD VILLAGE II CONDO ASSN INC","C/O J & L PROPERTY MANAGEMENT INC","10191 WEST SAMPLE RD","CORAL SPRINGS","FL","33065"
"PR1M007579","48009","PALM CHASE CONDO #88","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/22/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
"PR1M007580","48010","PALM CHASE CONDO #89","Palm Beach","10755 PALM LAKE AVENUE, BOYNTON BEACH, FL 33437","2","09/12/1986","Approved","Delinquent","MA00008343","PALM CHASE CONDO ASSOC., INC.","","10755 PALM LAKE AVENUE","BOYNTON BEACH","FL","33437"
